year,state,county,candidate,party,votes,total_county_votes
2000,Alabama,Autauga,Al Gore,democrat,4942,17208
2000,Alabama,Autauga,George W. Bush,republican,11993,17208
2000,Alabama,Autauga,Ralph Nader,green,160,17208
2000,Alabama,Autauga,Other,NA,113,17208
2000,Alabama,Baldwin,Al Gore,democrat,13997,56480
2000,Alabama,Baldwin,George W. Bush,republican,40872,56480
2000,Alabama,Baldwin,Ralph Nader,green,1033,56480
2000,Alabama,Baldwin,Other,NA,578,56480
2000,Alabama,Barbour,Al Gore,democrat,5188,10395
2000,Alabama,Barbour,George W. Bush,republican,5096,10395
2000,Alabama,Barbour,Ralph Nader,green,46,10395
2000,Alabama,Barbour,Other,NA,65,10395
2000,Alabama,Bibb,Al Gore,democrat,2710,7101
2000,Alabama,Bibb,George W. Bush,republican,4273,7101
2000,Alabama,Bibb,Ralph Nader,green,52,7101
2000,Alabama,Bibb,Other,NA,66,7101
2000,Alabama,Blount,Al Gore,democrat,4977,17973
2000,Alabama,Blount,George W. Bush,republican,12667,17973
2000,Alabama,Blount,Ralph Nader,green,154,17973
2000,Alabama,Blount,Other,NA,175,17973
2000,Alabama,Bullock,Al Gore,democrat,3395,4904
2000,Alabama,Bullock,George W. Bush,republican,1433,4904
2000,Alabama,Bullock,Ralph Nader,green,24,4904
2000,Alabama,Bullock,Other,NA,52,4904
2000,Alabama,Butler,Al Gore,democrat,3606,7803
2000,Alabama,Butler,George W. Bush,republican,4127,7803
2000,Alabama,Butler,Ralph Nader,green,36,7803
2000,Alabama,Butler,Other,NA,34,7803
2000,Alabama,Calhoun,Al Gore,democrat,15781,38909
2000,Alabama,Calhoun,George W. Bush,republican,22306,38909
2000,Alabama,Calhoun,Ralph Nader,green,481,38909
2000,Alabama,Calhoun,Other,NA,341,38909
2000,Alabama,Chambers,Al Gore,democrat,5616,11834
2000,Alabama,Chambers,George W. Bush,republican,6037,11834
2000,Alabama,Chambers,Ralph Nader,green,95,11834
2000,Alabama,Chambers,Other,NA,86,11834
2000,Alabama,Cherokee,Al Gore,democrat,3497,7823
2000,Alabama,Cherokee,George W. Bush,republican,4154,7823
2000,Alabama,Cherokee,Ralph Nader,green,77,7823
2000,Alabama,Cherokee,Other,NA,95,7823
2000,Alabama,Chilton,Al Gore,democrat,4806,15092
2000,Alabama,Chilton,George W. Bush,republican,10066,15092
2000,Alabama,Chilton,Ralph Nader,green,92,15092
2000,Alabama,Chilton,Other,NA,128,15092
2000,Alabama,Choctaw,Al Gore,democrat,3707,7374
2000,Alabama,Choctaw,George W. Bush,republican,3600,7374
2000,Alabama,Choctaw,Ralph Nader,green,33,7374
2000,Alabama,Choctaw,Other,NA,34,7374
2000,Alabama,Clarke,Al Gore,democrat,4679,10752
2000,Alabama,Clarke,George W. Bush,republican,5988,10752
2000,Alabama,Clarke,Ralph Nader,green,33,10752
2000,Alabama,Clarke,Other,NA,52,10752
2000,Alabama,Clay,Al Gore,democrat,2045,5883
2000,Alabama,Clay,George W. Bush,republican,3719,5883
2000,Alabama,Clay,Ralph Nader,green,52,5883
2000,Alabama,Clay,Other,NA,67,5883
2000,Alabama,Cleburne,Al Gore,democrat,1664,5092
2000,Alabama,Cleburne,George W. Bush,republican,3333,5092
2000,Alabama,Cleburne,Ralph Nader,green,39,5092
2000,Alabama,Cleburne,Other,NA,56,5092
2000,Alabama,Coffee,Al Gore,democrat,5220,15434
2000,Alabama,Coffee,George W. Bush,republican,9938,15434
2000,Alabama,Coffee,Ralph Nader,green,155,15434
2000,Alabama,Coffee,Other,NA,121,15434
2000,Alabama,Colbert,Al Gore,democrat,10543,21532
2000,Alabama,Colbert,George W. Bush,republican,10518,21532
2000,Alabama,Colbert,Ralph Nader,green,208,21532
2000,Alabama,Colbert,Other,NA,263,21532
2000,Alabama,Conecuh,Al Gore,democrat,2783,5551
2000,Alabama,Conecuh,George W. Bush,republican,2699,5551
2000,Alabama,Conecuh,Ralph Nader,green,35,5551
2000,Alabama,Conecuh,Other,NA,34,5551
2000,Alabama,Coosa,Al Gore,democrat,2104,4567
2000,Alabama,Coosa,George W. Bush,republican,2382,4567
2000,Alabama,Coosa,Ralph Nader,green,34,4567
2000,Alabama,Coosa,Other,NA,47,4567
2000,Alabama,Covington,Al Gore,democrat,4440,13613
2000,Alabama,Covington,George W. Bush,republican,8961,13613
2000,Alabama,Covington,Ralph Nader,green,123,13613
2000,Alabama,Covington,Other,NA,89,13613
2000,Alabama,Crenshaw,Al Gore,democrat,1934,4795
2000,Alabama,Crenshaw,George W. Bush,republican,2793,4795
2000,Alabama,Crenshaw,Ralph Nader,green,40,4795
2000,Alabama,Crenshaw,Other,NA,28,4795
2000,Alabama,Cullman,Al Gore,democrat,9758,29525
2000,Alabama,Cullman,George W. Bush,republican,19157,29525
2000,Alabama,Cullman,Ralph Nader,green,282,29525
2000,Alabama,Cullman,Other,NA,328,29525
2000,Alabama,Dale,Al Gore,democrat,4906,15806
2000,Alabama,Dale,George W. Bush,republican,10593,15806
2000,Alabama,Dale,Ralph Nader,green,188,15806
2000,Alabama,Dale,Other,NA,119,15806
2000,Alabama,Dallas,Al Gore,democrat,10967,18464
2000,Alabama,Dallas,George W. Bush,republican,7360,18464
2000,Alabama,Dallas,Ralph Nader,green,63,18464
2000,Alabama,Dallas,Other,NA,74,18464
2000,Alabama,DeKalb,Al Gore,democrat,7056,20285
2000,Alabama,DeKalb,George W. Bush,republican,12827,20285
2000,Alabama,DeKalb,Ralph Nader,green,175,20285
2000,Alabama,DeKalb,Other,NA,227,20285
2000,Alabama,Elmore,Al Gore,democrat,6652,23804
2000,Alabama,Elmore,George W. Bush,republican,16777,23804
2000,Alabama,Elmore,Ralph Nader,green,212,23804
2000,Alabama,Elmore,Other,NA,163,23804
2000,Alabama,Escambia,Al Gore,democrat,4523,11660
2000,Alabama,Escambia,George W. Bush,republican,6975,11660
2000,Alabama,Escambia,Ralph Nader,green,78,11660
2000,Alabama,Escambia,Other,NA,84,11660
2000,Alabama,Etowah,Al Gore,democrat,17433,39348
2000,Alabama,Etowah,George W. Bush,republican,21087,39348
2000,Alabama,Etowah,Ralph Nader,green,435,39348
2000,Alabama,Etowah,Other,NA,393,39348
2000,Alabama,Fayette,Al Gore,democrat,3064,7808
2000,Alabama,Fayette,George W. Bush,republican,4582,7808
2000,Alabama,Fayette,Ralph Nader,green,60,7808
2000,Alabama,Fayette,Other,NA,102,7808
2000,Alabama,Franklin,Al Gore,democrat,4793,11103
2000,Alabama,Franklin,George W. Bush,republican,6119,11103
2000,Alabama,Franklin,Ralph Nader,green,72,11103
2000,Alabama,Franklin,Other,NA,119,11103
2000,Alabama,Geneva,Al Gore,democrat,2769,9559
2000,Alabama,Geneva,George W. Bush,republican,6588,9559
2000,Alabama,Geneva,Ralph Nader,green,97,9559
2000,Alabama,Geneva,Other,NA,105,9559
2000,Alabama,Greene,Al Gore,democrat,3504,4396
2000,Alabama,Greene,George W. Bush,republican,850,4396
2000,Alabama,Greene,Ralph Nader,green,24,4396
2000,Alabama,Greene,Other,NA,18,4396
2000,Alabama,Hale,Al Gore,democrat,4652,7731
2000,Alabama,Hale,George W. Bush,republican,2984,7731
2000,Alabama,Hale,Ralph Nader,green,43,7731
2000,Alabama,Hale,Other,NA,52,7731
2000,Alabama,Henry,Al Gore,democrat,2782,6932
2000,Alabama,Henry,George W. Bush,republican,4054,6932
2000,Alabama,Henry,Ralph Nader,green,48,6932
2000,Alabama,Henry,Other,NA,48,6932
2000,Alabama,Houston,Al Gore,democrat,9412,32057
2000,Alabama,Houston,George W. Bush,republican,22150,32057
2000,Alabama,Houston,Ralph Nader,green,257,32057
2000,Alabama,Houston,Other,NA,238,32057
2000,Alabama,Jackson,Al Gore,democrat,9066,17906
2000,Alabama,Jackson,George W. Bush,republican,8475,17906
2000,Alabama,Jackson,Ralph Nader,green,184,17906
2000,Alabama,Jackson,Other,NA,181,17906
2000,Alabama,Jefferson,Al Gore,democrat,129889,273763
2000,Alabama,Jefferson,George W. Bush,republican,138491,273763
2000,Alabama,Jefferson,Ralph Nader,green,3393,273763
2000,Alabama,Jefferson,Other,NA,1990,273763
2000,Alabama,Lamar,Al Gore,democrat,2653,7249
2000,Alabama,Lamar,George W. Bush,republican,4470,7249
2000,Alabama,Lamar,Ralph Nader,green,57,7249
2000,Alabama,Lamar,Other,NA,69,7249
2000,Alabama,Lauderdale,Al Gore,democrat,13875,32137
2000,Alabama,Lauderdale,George W. Bush,republican,17478,32137
2000,Alabama,Lauderdale,Ralph Nader,green,354,32137
2000,Alabama,Lauderdale,Other,NA,430,32137
2000,Alabama,Lawrence,Al Gore,democrat,6296,12185
2000,Alabama,Lawrence,George W. Bush,republican,5671,12185
2000,Alabama,Lawrence,Ralph Nader,green,63,12185
2000,Alabama,Lawrence,Other,NA,155,12185
2000,Alabama,Lee,Al Gore,democrat,14574,38264
2000,Alabama,Lee,George W. Bush,republican,22433,38264
2000,Alabama,Lee,Ralph Nader,green,895,38264
2000,Alabama,Lee,Other,NA,362,38264
2000,Alabama,Limestone,Al Gore,democrat,8992,23634
2000,Alabama,Limestone,George W. Bush,republican,14204,23634
2000,Alabama,Limestone,Ralph Nader,green,193,23634
2000,Alabama,Limestone,Other,NA,245,23634
2000,Alabama,Lowndes,Al Gore,democrat,4557,6243
2000,Alabama,Lowndes,George W. Bush,republican,1638,6243
2000,Alabama,Lowndes,Ralph Nader,green,18,6243
2000,Alabama,Lowndes,Other,NA,30,6243
2000,Alabama,Macon,Al Gore,democrat,7665,8831
2000,Alabama,Macon,George W. Bush,republican,1091,8831
2000,Alabama,Macon,Ralph Nader,green,31,8831
2000,Alabama,Macon,Other,NA,44,8831
2000,Alabama,Madison,Al Gore,democrat,48199,113318
2000,Alabama,Madison,George W. Bush,republican,62151,113318
2000,Alabama,Madison,Ralph Nader,green,1885,113318
2000,Alabama,Madison,Other,NA,1083,113318
2000,Alabama,Marengo,Al Gore,democrat,4841,9608
2000,Alabama,Marengo,George W. Bush,republican,4690,9608
2000,Alabama,Marengo,Ralph Nader,green,40,9608
2000,Alabama,Marengo,Other,NA,37,9608
2000,Alabama,Marion,Al Gore,democrat,4600,11756
2000,Alabama,Marion,George W. Bush,republican,6910,11756
2000,Alabama,Marion,Ralph Nader,green,125,11756
2000,Alabama,Marion,Other,NA,121,11756
2000,Alabama,Marshall,Al Gore,democrat,10381,27989
2000,Alabama,Marshall,George W. Bush,republican,17084,27989
2000,Alabama,Marshall,Ralph Nader,green,256,27989
2000,Alabama,Marshall,Other,NA,268,27989
2000,Alabama,Mobile,Al Gore,democrat,58640,139745
2000,Alabama,Mobile,George W. Bush,republican,78162,139745
2000,Alabama,Mobile,Ralph Nader,green,1585,139745
2000,Alabama,Mobile,Other,NA,1358,139745
2000,Alabama,Monroe,Al Gore,democrat,3741,8951
2000,Alabama,Monroe,George W. Bush,republican,5153,8951
2000,Alabama,Monroe,Ralph Nader,green,25,8951
2000,Alabama,Monroe,Other,NA,32,8951
2000,Alabama,Montgomery,Al Gore,democrat,40371,80328
2000,Alabama,Montgomery,George W. Bush,republican,38827,80328
2000,Alabama,Montgomery,Ralph Nader,green,677,80328
2000,Alabama,Montgomery,Other,NA,453,80328
2000,Alabama,Morgan,Al Gore,democrat,16060,42681
2000,Alabama,Morgan,George W. Bush,republican,25774,42681
2000,Alabama,Morgan,Ralph Nader,green,450,42681
2000,Alabama,Morgan,Other,NA,397,42681
2000,Alabama,Perry,Al Gore,democrat,4020,5787
2000,Alabama,Perry,George W. Bush,republican,1732,5787
2000,Alabama,Perry,Ralph Nader,green,18,5787
2000,Alabama,Perry,Other,NA,17,5787
2000,Alabama,Pickens,Al Gore,democrat,4143,8540
2000,Alabama,Pickens,George W. Bush,republican,4306,8540
2000,Alabama,Pickens,Ralph Nader,green,39,8540
2000,Alabama,Pickens,Other,NA,52,8540
2000,Alabama,Pike,Al Gore,democrat,4357,10544
2000,Alabama,Pike,George W. Bush,republican,6058,10544
2000,Alabama,Pike,Ralph Nader,green,75,10544
2000,Alabama,Pike,Other,NA,54,10544
2000,Alabama,Randolph,Al Gore,democrat,3094,7919
2000,Alabama,Randolph,George W. Bush,republican,4666,7919
2000,Alabama,Randolph,Ralph Nader,green,60,7919
